extra,wasted,rework,Add_Method_Annotation,Rename_Method,Replace_Variable_With_Attribute,Rename_Class,Remove_Class_Annotation,Add_Class_Annotation,Remove_Method_Annotation,Move_And_Rename_Method,Change_Package,Move_Class,Add_Thrown_Exception_Type,Move_Method,Change_Parameter_Type,Change_Attribute_Type,Change_Variable_Type,Rename_Parameter,Inline_Method,Move_And_Rename_Class,Change_Method_Access_Modifier,Remove_Parameter,Change_Return_Type,Extract_Class,Move_Attribute,Extract_Subclass,Push_Down_Method,Move_And_Inline_Method,Rename_Attribute,Rename_Variable,Extract_Method,Inline_Variable,Modify_Method_Annotation,Extract_Superclass,Extract_Interface,Add_Parameter,Parameterize_Variable,Extract_Variable,Extract_Attribute,Extract_And_Move_Method,Change_Thrown_Exception_Type,Remove_Thrown_Exception_Type,Modify_Class_Annotation,Change_Attribute_Access_Modifier,Pull_Up_Attribute,Pull_Up_Method,Add_Attribute_Annotation,Merge_Variable,Move_Source_Folder,Merge_Parameter,Remove_Attribute_Annotation,Push_Down_Attribute,Modify_Attribute_Annotation,Modify_Parameter_Annotation,Remove_Parameter_Annotation,Add_Parameter_Annotation,Merge_Attribute,Split_Attribute,Replace_Attribute,Reorder_Parameter,Remove_Variable_Annotation,Add_Variable_Annotation,Move_And_Rename_Attribute,Split_Parameter,Split_Variable,Modify_Variable_Annotation,qty_commits_with_refac,qty_commits_with_refac_b1,qty_commits_with_refac_b2,qty_refactorings,qty_refac_b1,qty_refac_b2
9,203,172,69,38,0,27,0,2,4,4,2,18,6,12,6,10,27,22,0,1,3,1,10,1,141,0,0,0,12,19,0,0,0,0,1,7,0,14,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,26,0,26
0,0,0,69,46,0,45,0,2,4,4,2,18,11,12,6,10,27,22,0,1,3,1,11,1,141,0,0,0,12,19,0,0,0,0,1,12,0,16,0,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,39,0,39
0,2923,2780,138,90,0,92,0,4,8,8,4,36,21,26,12,20,54,44,0,2,6,2,21,2,282,0,0,0,24,38,0,0,0,0,2,21,0,32,0,0,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,72,33,39
0,0,0,70,54,1,46,0,2,7,4,2,18,14,16,9,17,39,23,0,3,4,2,21,3,144,0,0,0,16,28,3,3,0,1,1,35,0,19,3,0,1,3,1,7,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,135,108,27
0,0,0,70,60,1,46,0,2,7,4,2,18,15,16,9,19,43,24,0,3,4,2,26,3,144,0,0,0,18,30,4,3,0,1,1,38,0,19,3,0,1,3,1,7,6,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,27,27,0
0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,3,0,19,1,2,0,0,0,4,0,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,44,18,26
0,0,0,0,0,3,6,2,0,0,0,0,0,0,1,7,0,33,2,2,1,1,0,4,0,0,0,0,0,4,4,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,31,29,2
0,0,0,0,0,3,6,2,0,0,0,0,0,0,1,10,0,37,12,2,1,1,0,4,0,0,0,0,0,4,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,48,19,29
0,0,0,0,0,9,15,4,0,0,0,0,0,0,2,17,0,75,14,6,2,2,0,12,0,0,0,0,0,8,13,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,24,6,18
0,0,0,138,99,4,99,2,4,10,9,4,36,23,29,23,26,98,48,2,4,8,3,35,3,283,0,0,0,32,48,1,3,0,1,2,30,0,39,3,0,2,4,0,10,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,134,56,78
0,0,0,0,0,9,16,4,0,0,0,0,0,1,2,20,1,84,24,6,2,2,0,12,0,0,0,0,0,8,15,0,3,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,29,3,26
0,0,0,0,0,9,18,4,0,0,0,0,0,1,2,23,1,93,34,6,2,2,0,12,0,0,0,0,0,8,16,0,3,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,29,1,28
0,0,0,0,0,9,17,4,0,0,0,0,0,1,2,24,1,93,36,6,2,2,0,13,0,0,0,0,0,8,16,0,3,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,32,32,0
0,0,0,2,0,9,19,4,0,0,0,0,0,2,2,23,2,98,35,6,2,2,0,12,0,0,0,0,0,8,17,0,3,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,15,3,12
17,20,0,71,52,21,88,10,2,4,4,2,18,15,17,59,15,255,94,14,6,8,1,44,1,141,0,0,0,34,58,1,7,0,0,1,15,0,37,14,0,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,124,0,124
0,0,2,69,52,15,75,7,2,4,4,2,18,14,15,42,14,185,70,10,4,6,1,36,1,141,0,0,0,28,45,1,5,0,0,1,15,0,30,8,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,123,1,122
0,0,0,73,67,24,113,15,2,6,5,2,18,22,22,71,22,287,110,16,12,10,2,55,3,142,0,0,0,40,71,3,10,0,1,1,26,0,46,17,0,1,2,0,5,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,223,0,223
0,4265,3900,278,139,19,164,12,8,14,12,6,54,36,44,67,42,278,128,12,14,24,6,62,5,431,0,0,0,60,104,8,10,0,1,3,73,0,69,11,0,3,8,3,29,6,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,243,18,225
0,0,0,280,150,21,171,13,8,15,12,6,55,39,51,78,46,310,140,14,18,26,6,73,8,432,0,0,0,64,112,12,11,0,2,4,79,0,72,13,0,3,9,3,29,12,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,166,161,5
1,3,8,1,1,0,1,1,0,0,2,0,5,0,0,6,5,3,0,0,3,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,51,0,51
0,0,0,3,1,9,20,4,0,0,0,0,0,2,2,24,3,99,37,6,2,2,0,13,0,0,0,0,0,8,18,3,3,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,13,8,5
0,0,0,2,2,0,1,2,0,0,5,0,10,0,2,13,12,6,0,0,6,24,0,1,0,5,0,0,0,2,0,0,0,0,0,0,1,0,3,1,12,0,6,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,74,74,0
0,0,0,5,3,16,29,8,0,0,5,0,10,2,5,46,15,146,49,10,9,27,0,21,0,5,0,0,0,14,23,3,5,0,0,0,1,0,16,12,12,0,6,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,46,4,42
