commit,branch1,branch2,merge,rework,wasted,extra,merge_commits_count,files_edited_b1,files_edited_b2,files_edited_intersection,files_edited_union,files_add_b1,files_add_b2,files_add_intersection,files_add_union,files_rm_b1,files_rm_b2,files_rm_intersection,files_rm_union,files_changed_b1,files_changed_b2,files_changed_intersection,files_changed_union,lines_add_b1,lines_add_b2,lines_add_intersection,lines_add_union,lines_rm_b1,lines_rm_b2,lines_rm_intersection,lines_rm_union,lines_changed_b1,lines_changed_b2,lines_changed_intersection,lines_changed_union,commits_b1,commits_b2,commits_total,authors_b1,authors_b2,authors_intersection,authors_union,committers_b1,committers_b2,committers_intersection,committers_union,time_total,time_min_total,time_max_total,time_min_branch,time_max_branch,merge_type,project_commits,developer_commits_in_window_of_time,developer_commits_until_merge,developer_no_merges_in_window_of_time,developer_no_merges_until_merge,developer_merges_in_window_of_time,developer_merges_until_merge,project
3d08ff73e51af510ad8ec3fd5142bc9f2396b84a,1523,80,1603,0,0,0,44,19,3,0,22,0,0,0,0,0,0,0,0,19,3,0,22,775,52,0,827,748,28,0,776,1521,80,0,1601,1,2,3,1,1,1,1,1,1,1,1,49964,135,49891,-48555,49756,branch,3469,148,1750,145,1697,3,53,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
199489c12c69a3a0b55671edfa7d980b43489777,100,5809,5909,0,0,0,46,9,10,0,19,0,2,0,2,0,1,0,1,9,13,0,22,62,2955,0,3017,38,2854,0,2892,97,5809,0,5906,14,2,16,1,1,0,2,1,1,0,2,283763,98013,283308,3,192639,workspace,7201,0,4569,0,4160,0,409,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
e369e60fb457df56cf81a84b5114818dfb023144,348,58,406,0,0,0,47,21,2,0,23,2,0,0,2,0,0,0,0,23,2,0,25,210,33,0,243,138,25,0,163,343,57,0,400,30,1,31,6,1,0,7,6,1,0,7,1936271,181928,1912170,0,1742865,workspace,6844,0,4323,0,3956,0,367,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
619b2e8ca207b39829b74683cfc514ffbf4ddbbb,477,427,904,0,0,0,51,26,5,1,30,0,11,0,11,0,0,0,0,26,16,1,41,374,333,0,707,103,94,0,197,467,427,0,894,32,16,48,9,1,0,10,9,1,0,10,2004227,1250637,1991273,902587,1973188,workspace,5788,0,3479,0,3222,0,257,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
a7b64532f54725ebc20f066295307389b8b4cbe0,4,43,47,0,0,0,52,1,9,0,10,0,0,0,0,0,0,0,0,1,9,0,10,2,17,0,19,2,26,0,28,4,43,0,47,1,1,2,1,1,0,2,1,1,0,2,164314,138658,164200,-25542,25542,workspace,5078,103,3082,74,2929,29,153,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
31713d572a606a487d36c4a4d673b9797cf4a0db,35,17,51,2,0,0,53,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,34,12,1,45,1,5,0,6,35,17,1,51,2,1,3,2,1,1,2,2,1,1,2,855043,820740,855027,-33834,34287,workspace,5525,0,3337,0,3115,0,222,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
649cfb61b85ee4c512365afada0c056c3f8b7148,1304,4,1308,0,0,0,54,42,2,1,43,6,0,0,6,0,0,0,0,48,2,1,49,1092,2,0,1094,212,2,0,214,1297,4,0,1301,47,1,48,8,1,0,9,8,1,0,9,2720620,63881,2720557,0,2803095,workspace,6846,0,4324,0,3956,0,368,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
84f6b1e41a9d0c44ec4a87dfbb5de9f19407b919,51,61,110,6,0,0,55,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,45,54,2,97,6,7,0,13,51,61,2,110,4,2,6,2,1,0,3,2,1,0,3,855088,782246,855043,-72328,565266,workspace,5528,0,3338,0,3115,0,223,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b306405caaaee9b43a61533fdce772ccbe934e1f,101,84,185,0,0,0,58,8,3,0,11,0,0,0,0,0,0,0,0,8,3,0,11,43,75,0,118,58,9,0,67,101,83,0,184,8,2,10,1,1,0,2,1,1,0,2,208339,175044,187126,76061,117353,workspace,4673,88,2832,70,2723,18,109,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
29706ee02dcfd6f211bf3592babf627baae0a3e9,1393,14,1407,0,0,0,61,49,2,2,49,6,0,0,6,0,0,0,0,55,2,2,55,1142,7,0,1149,251,7,0,258,1386,14,0,1400,58,1,59,9,1,1,9,9,1,1,9,3488111,2071,3488027,-123847,3485956,workspace,6848,0,4325,0,3956,0,369,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
1d268876f8e8f7c1298e3b87cf59f5fd1b0793b8,21,726,747,0,0,0,62,2,4,1,5,0,3,0,3,0,0,0,0,2,7,1,8,17,716,0,733,4,10,0,14,21,726,0,747,4,3,7,2,1,0,3,2,1,0,3,514783,428386,442293,449,192740,workspace,5551,0,3352,0,3125,0,227,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
8c579a5daae8debf62334fc91b7e41fee4f0e7a5,208,66,274,0,0,0,64,13,3,0,16,2,0,0,2,0,0,0,0,15,3,0,18,164,46,0,210,44,20,0,64,207,66,0,273,14,1,15,1,1,0,2,1,1,0,2,518544,479536,518262,0,428036,workspace,6268,0,3829,0,3518,0,311,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
c6d3eca44ebc652c7cd2e77930b70454bd7d72d8,1061,4,1065,0,0,0,65,52,2,1,53,3,0,0,3,4,0,0,4,59,2,1,60,704,2,0,706,357,2,0,359,1048,4,0,1052,63,1,64,4,1,1,4,5,1,1,5,2726226,129747,2725883,0,2632136,workspace,7315,0,4607,0,4189,0,418,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
b6d530d8764642dc2f0c0373a6569bd0c0270dc1,25,596,621,0,0,0,67,2,3,1,4,0,1,0,1,0,0,0,0,2,4,1,5,14,596,0,610,11,0,0,11,25,596,0,621,3,2,5,2,2,1,3,2,2,1,3,430002,23873,326527,23850,339263,branch,2943,50,1250,45,1212,5,38,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
8d4eebaff42cfe474042a7dafaa86950640b9e82,214,111,325,0,0,0,71,6,3,0,9,0,4,0,4,0,0,0,0,6,7,0,13,107,100,0,207,107,11,0,118,214,110,0,324,5,2,7,2,1,0,3,2,1,0,3,212299,43262,208084,-164684,180504,workspace,5119,97,3110,78,2952,19,158,/Users/tayanemoura/Documents/git/manual_analysis/pandoc/
