commit,wasted
35e17be8408d126e8daa2ba6a42508074917e681,2
272c72b405d205470fb55e275ec856b655ebf972,201
8d30fe616eacaa3263d46ca20153d1c4e518c16c,2
a70b4fbd6c97358761b8f6a0d56bf216e3e99068,17
5c222dbe284664af3547d1d9d67d4846bf36f4ed,15
19a6b194a9aceb3d7997f0acfc99530ac2792be4,17622
817e7223213b8d4ef8c783acca1345ef03e97f22,2
495b38658e99101240a9b028fd7c2fb8bf1034a4,168
b7dda4c5bcec5c018fa145516b4e26f072862bf6,1064
94a7e82ba12b8cb241415b50d9944f20750d1ffe,187
16ff4dc0be5dedf6e0334a6fab9f729d98e8c233,3
bf7055decfefe29ab6123af8384a04effebcb9ab,6
0da5b00d6e6af10d88a5694a1f1c5c4365827bac,393
f8599410629e6591bb7ed5686aa68ea1f40e1b88,10
7d0eae17e3edbdf3713856c95c48d1f0e76eb87a,75
ef7c369092b33a9fcf4be00d98521b92321d63c3,18
9193a8f7887b919cc62dc308fbdd2d3d92d8a746,5
6729c2ead827decf36243d850cb0a0d5680d05ef,2
5912cc49676821c3f1599f81dcf714b040e04a1a,2
81ad2fa3319bbe93fae88ce0831a1bc26c0797d2,1
ea2a6f91d383c958b9bab56858f4ef0c8b6ec847,1
42fb1df694541892df76ae9765b613d2c1c10c0b,3
44fd30d3fbcf830deecbe8ea3e8ea165e74e6edd,10
088995f917548ac549397f24916ea72b0c3fc9d0,42
17987778daac140027b7a01c0ec22f0b3e4f3b83,14
e9cd634d05f3898a5bd6afdf1b1db8866143ccc1,8
cea617457386928abfac1d04cf0cb2656fa07da0,2
053ef949ace4fa5581e86d71c5a8162ff5e376a4,55
280ddf64bd597cd287e6f41b71fbc3c63a0d7e68,137
1c48ba0d9f25b6f59ea00ba0814930a840b635ad,14
e8e917f2094179a6630d61d5e4d1bfc09e906087,20
185bb9525a3a48313cd5e446e1b80d2d697465d8,120
9df565007b3d9cc167b0b55d3d9bb5fc3df0e225,4
6bcac986b20477fcb8cc011ecff19f482e033794,2
64ad3b18d97012e191f096faf92742171458283c,3
1022e9bf174cb749f309af798f0fb3c5b50d3a72,36
